sets,hand_size,deals,hand_type,count
3,18,14,ascending,106757782
1,18,10,descending,1212
5,12,22,ascending,67573871952
3,12,6,ascending,332595242186
7,21,4,ascending,7567
5,21,12,ascending,1289
1,15,21,ascending,7812771493
4,18,9,descending,11682
7,21,12,ascending,10256
9,15,12,ascending,31443987
9,15,13,descending,1128
4,15,23,ascending,22798822451
1,18,4,ascending,2083575
0,15,15,descending,68786062
12,12,15,ascending,402497
13,12,13,ascending,90505
2,15,17,descending,362934170
2,12,13,descending,21114062328
8,15,8,ascending,266153457
4,12,16,descending,1166522131
1,18,8,ascending,2307445
5,15,16,ascending,13206153471
12,12,14,ascending,405313
8,18,3,descending,54
4,12,5,descending,1156005405
9,12,15,ascending,55655889
5,21,23,ascending,1371
13,18,19,ascending,15427
13,12,1,ascending,184538
6,21,12,ascending,5527
2,12,23,ascending,379355078139
11,15,8,ascending,85278
6,18,11,descending,2611
6,21,14,ascending,5905
9,18,23,ascending,24379897
6,12,8,ascending,17327647474
6,12,2,ascending,19268150191
9,15,3,ascending,29157995
8,21,23,ascending,11822
4,18,13,descending,12658
7,12,13,ascending,2904031983
0,15,21,ascending,1065931374
14,12,15,ascending,11190
16,21,15,ascending,1
4,18,21,descending,13570
12,15,7,ascending,37
3,21,22,ascending,27
1,12,8,ascending,252007989396
0,12,9,ascending,67304220219
1,12,12,ascending,253844168725
3,12,13,ascending,330129385674
4,21,10,ascending,91
9,21,15,ascending,8075
9,12,3,ascending,63865073
8,12,8,ascending,385637378
15,18,15,ascending,148
2,15,12,ascending,19128729198
11,15,5,ascending,86688
10,18,11,ascending,6123010
8,15,15,ascending,262825626
11,18,22,ascending,1184113
15,21,16,ascending,3
9,21,22,ascending,8318
4,12,17,descending,1167050530
10,18,13,ascending,6155698
10,21,14,ascending,3981
11,12,12,ascending,827359
5,12,16,ascending,67846913234
14,21,8,ascending,27
4,15,8,descending,110381323
7,18,8,ascending,145553533
2,12,9,ascending,378729508705
10,18,16,descending,1
8,18,16,ascending,70957897
7,18,9,descending,620
12,18,3,ascending,123691
4,21,6,ascending,92
2,12,22,descending,21318087992
5,18,22,ascending,274629144
10,15,22,ascending,2047175
8,21,22,ascending,11770
13,15,23,ascending,4171
13,12,11,ascending,93835
3,15,19,descending,264890773
15,18,3,ascending,112
4,21,7,ascending,102
3,18,19,ascending,109469445
13,21,3,ascending,68
4,12,8,ascending,184833343663
11,21,17,ascending,1566
6,12,22,descending,4680198
3,21,5,ascending,17
5,15,5,descending,29844953
3,12,4,ascending,333724626948
3,12,11,descending,6593123804
11,12,17,ascending,798344
10,12,2,ascending,15998595
3,15,15,descending,261635335
10,12,4,ascending,13714090
3,12,12,ascending,330388609143
6,15,7,descending,5268156
8,15,7,descending,34499
0,18,15,ascending,43660
1,15,8,descending,253866499
8,12,5,ascending,395836392
10,18,8,ascending,6106916
13,15,11,ascending,157
11,21,10,ascending,1436
15,21,18,ascending,7
10,18,9,ascending,6104001
10,15,6,ascending,2149392
4,18,14,descending,12838
9,15,8,ascending,31991894
1,18,7,ascending,2264405
7,15,21,descending,572636
13,12,17,ascending,88628
8,15,9,descending,34717
3,18,16,descending,11640
3,15,13,ascending,26280246405
0,18,14,ascending,43291
3,21,11,ascending,23
9,12,12,ascending,56618539
5,21,13,ascending,1421
0,18,11,ascending,41065
9,21,20,ascending,8073
0,15,5,descending,61103561
3,12,22,ascending,329199553380
11,18,20,ascending,1181461
3,15,16,ascending,26482328770
3,18,15,ascending,107514784
2,18,5,descending,4664
4,15,21,descending,116968398
10,21,10,ascending,3631
3,18,17,descending,11598
5,18,18,descending,8042
4,12,16,ascending,181976385378
6,18,5,descending,2252
10,18,17,descending,2
4,21,17,ascending,120
13,12,2,ascending,127796
8,15,3,descending,27195
0,15,12,ascending,1034875572
1,15,2,descending,124878419
12,15,5,ascending,52
4,18,18,ascending,215673710
12,15,2,ascending,29
1,18,23,ascending,1219844
5,18,19,ascending,273286912
14,12,13,ascending,11400
6,12,10,descending,4707213
13,15,7,ascending,158
12,15,13,ascending,53
5,15,18,ascending,13228327682
3,12,9,ascending,331440371577
5,15,18,descending,32032027
0,15,23,ascending,1008548004
6,18,3,ascending,178240275
12,15,6,ascending,27
12,15,4,ascending,36
13,15,1,ascending,66
3,12,19,ascending,329335676778
10,21,15,ascending,3922
6,18,21,ascending,242393536
9,21,3,ascending,3791
0,18,20,ascending,44745
3,12,3,ascending,335673481055
14,21,4,ascending,27
9,21,12,ascending,7592
3,15,7,ascending,25566563192
4,15,17,descending,116167782
0,15,8,ascending,997724098
10,18,22,ascending,6240568
9,18,4,descending,16
14,18,20,ascending,976
15,18,12,ascending,134
2,15,15,ascending,19350880654
5,15,5,ascending,12912571370
5,21,11,ascending,1241
7,15,17,descending,569601
7,12,4,descending,54301
13,15,20,ascending,154
10,21,20,ascending,4188
5,12,8,descending,110022740
10,21,7,ascending,3546
6,18,6,descending,2333
8,18,8,descending,108
12,18,5,ascending,156469
6,15,18,ascending,5264306458
4,18,5,ascending,189612870
8,12,1,ascending,566426544
10,12,21,ascending,12023926
12,15,14,ascending,40
0,12,23,ascending,72294790299
13,21,5,ascending,106
4,12,10,descending,1161926961
12,18,23,ascending,128023
3,18,14,descending,11203
13,21,7,ascending,125
5,18,19,descending,8113
1,18,3,descending,613
12,12,6,ascending,449758
6,12,9,ascending,17219535076
12,12,17,ascending,400009
0,12,4,ascending,66239375430
6,21,16,ascending,6079
12,21,6,ascending,437
12,15,12,ascending,34
5,12,10,descending,109628306
