sets,hand_size,deals,hand_type,count
5,18,18,descending,66
3,12,11,ascending,2541111549
0,15,14,descending,525020
4,15,7,ascending,170515699
0,15,15,ascending,8083319
2,12,9,descending,160381552
5,15,8,ascending,100124231
5,18,5,ascending,1870013
2,12,14,descending,162589566
4,18,22,ascending,1670562
2,15,21,descending,2814740
2,18,17,ascending,230613
0,12,3,ascending,506266704
2,12,22,descending,163827616
8,15,8,descending,279
6,18,15,ascending,1835148
3,12,20,ascending,2530294434
13,18,16,ascending,108
14,12,18,ascending,84
12,21,10,ascending,4
1,15,17,ascending,59698002
1,12,22,descending,301804656
0,12,13,descending,223974869
1,15,19,ascending,59911425
5,18,18,ascending,2093845
10,15,8,ascending,16349
13,18,20,ascending,121
7,15,3,ascending,10086725
11,21,17,ascending,17
1,18,18,ascending,19985
5,21,8,ascending,7
4,21,12,ascending,1
11,12,19,ascending,6138
5,12,6,descending,848791
0,18,3,descending,1
2,12,16,ascending,2914586736
8,18,16,ascending,545060
9,15,2,ascending,183911
10,18,5,ascending,46103
12,12,14,ascending,3098
0,15,2,descending,244317
9,15,6,ascending,247522
6,18,14,descending,21
5,12,22,descending,840463
11,21,22,ascending,12
5,18,4,descending,44
3,15,16,descending,2019668
14,12,17,ascending,82
1,18,9,ascending,18078
3,18,19,descending,86
3,15,4,ascending,190457716
3,18,12,ascending,804882
13,21,19,ascending,2
13,15,5,ascending,2
13,15,23,ascending,33
0,15,23,ascending,7749856
6,15,8,ascending,40208403
4,12,16,ascending,1398298259
3,18,6,ascending,739937
5,18,7,ascending,1923537
8,12,22,ascending,2792489
8,21,4,ascending,55
4,21,16,ascending,1
2,15,21,ascending,150059516
5,15,16,ascending,101470419
4,15,12,ascending,173338394
8,21,12,ascending,82
3,18,23,ascending,838337
2,18,11,descending,47
6,18,4,ascending,1596339
3,15,5,ascending,194074846
7,18,14,ascending,1165958
4,15,16,descending,890340
4,12,8,ascending,1420272903
6,18,6,ascending,1711360
3,15,17,descending,2026074
2,18,16,descending,47
0,18,14,descending,1
7,15,22,descending,4389
3,15,12,ascending,201216282
8,18,11,ascending,533595
