sets,hand_size,deals,hand_type,count
7,15,5,ascending,717
4,18,19,ascending,99
5,12,1,ascending,41832
8,12,18,ascending,184
4,15,5,descending,43
11,18,5,ascending,2
8,18,2,ascending,16
7,18,12,ascending,75
3,12,0,ascending,188811
10,18,2,ascending,1
4,12,16,descending,613
8,15,18,ascending,149
10,18,14,ascending,4
9,12,7,ascending,23
6,12,11,ascending,8483
6,18,13,ascending,108
3,18,6,ascending,39
11,18,13,ascending,1
2,18,8,ascending,21
10,18,6,ascending,3
7,12,19,ascending,1396
7,15,7,ascending,710
7,18,23,ascending,74
12,12,15,ascending,1
4,12,10,ascending,90596
4,12,5,descending,573
9,15,7,ascending,15
4,15,6,descending,62
6,12,10,descending,1
8,12,16,ascending,172
2,18,23,ascending,9
6,12,14,ascending,8433
9,18,19,ascending,10
0,15,17,descending,40
5,12,21,descending,44
11,18,18,ascending,1
6,12,2,ascending,9453
0,12,22,ascending,33799
0,15,15,descending,29
6,12,5,descending,2
3,15,13,ascending,12805
3,12,14,descending,3185
6,15,17,ascending,2597
7,18,19,ascending,75
3,15,19,descending,127
3,12,22,descending,3427
3,12,20,ascending,162626
8,15,2,ascending,102
6,18,12,ascending,120
1,12,22,ascending,126040
9,15,3,ascending,14
5,12,12,descending,37
7,12,0,ascending,3221
5,12,9,descending,65
1,15,14,descending,127
9,12,8,ascending,46
3,15,2,ascending,9794
7,12,6,ascending,1470
2,12,17,ascending,187495
9,12,9,ascending,31
1,12,0,ascending,100742
4,12,7,ascending,91285
5,12,19,ascending,33237
9,18,18,ascending,9
10,12,13,ascending,8
6,18,21,ascending,136
5,15,3,ascending,5893
6,15,16,ascending,2633
1,12,14,descending,18991
4,12,23,ascending,93903
10,18,11,ascending,2
7,18,14,ascending,83
2,12,10,ascending,187380
8,15,17,ascending,126
9,15,15,ascending,17
8,18,14,ascending,31
5,15,18,descending,12
8,12,8,ascending,166
7,15,18,ascending,727
7,12,23,ascending,1624
9,15,4,ascending,9
6,18,15,ascending,124
11,18,14,ascending,2
8,12,13,ascending,172
6,12,18,descending,2
8,15,6,ascending,123
6,12,15,descending,2
2,12,22,ascending,187600
3,12,10,ascending,163874
1,18,16,ascending,2
0,12,18,descending,14594
1,12,13,ascending,125051
3,15,12,ascending,12825
11,12,0,ascending,1
3,15,22,ascending,13431
4,12,6,descending,598
7,12,21,ascending,1441
5,12,11,descending,47
3,15,22,descending,129
2,15,11,ascending,9531
3,18,16,ascending,61
6,18,20,ascending,128
0,12,17,descending,14572
10,12,4,ascending,7
1,12,1,descending,8783
3,12,15,ascending,162973
9,12,1,ascending,39
6,15,19,descending,6
10,15,8,ascending,2
4,15,8,descending,53
0,15,8,descending,36
