deals,setless12,set12,setless15,set15,setless18,set18
0,180870673,5418129327,0,0,0,0
1,282729077,5314229653,2041270,178829403,0,0
2,325575579,5270297824,3126514,281643750,83,2041187
3,341391057,5254064646,3544164,325157879,133,3126464
4,346978531,5248330496,3690839,341244381,134,3544163
5,349240405,5246010815,3748650,346920724,130,3690843
6,350787886,5244426090,3785875,349203161,149,3748631
7,352385884,5242787024,3826947,350746818,145,3785879
8,354045730,5241087001,3867112,352345707,157,3826935
9,355760080,5239330224,3909553,354003303,143,3867126
10,357405134,5237644270,3950457,355719180,139,3909557
11,358879975,5236130940,3988935,357366645,150,3950446
12,360244192,5234734606,4021044,358847858,158,3988927
13,361372927,5233576709,4050204,360215030,160,4021042
14,362394505,5232530919,4074418,361348715,158,4050206
15,363243467,5231663674,4092696,362376222,163,4074413
16,363919864,5230967330,4112650,363223520,156,4092703
17,364518278,5230348918,4132635,363899866,169,4112637
18,364982237,5229875896,4141716,364509215,151,4132653
19,365379267,5229464483,4156094,364967854,156,4141711
20,365715640,5229119188,4164996,365370345,176,4156074
21,365966328,5228862735,4170769,365709875,168,4165004
22,366242878,5228579803,4177127,365959946,192,4170745
23,385034539,5210010327,3952640,366465063,2494,4174825
